Price,Close,High,Low,Open,Volume
Ticker,XLU,XLU,XLU,XLU,XLU
Date,,,,,
2006-01-03,7.952803611755371,7.972686075847832,7.773865701139528,7.850908353401678,7824400
2006-01-04,7.965227127075195,7.982623803561107,7.8558764537283565,7.975168355937935,9364800
2006-01-05,7.913036823272705,8.002505983839937,7.903095594754628,7.945344867908725,3114000
2006-01-06,7.997538089752197,8.000022923703007,7.9130395147038355,7.952803494253179,1878200
2006-01-09,7.947834014892578,7.9950534510950755,7.920496571307999,7.980142549161756,4000400
2006-01-10,7.960256099700928,7.977652775284377,7.900610625714165,7.9055807658638235,4960600
2006-01-11,7.947834014892578,7.975171932501252,7.925466713944407,7.930437330604911,4717800
2006-01-12,7.947834014892578,7.987598000128416,7.930437330604911,7.9403785639259175,4048000
2006-01-13,8.002508163452148,8.007478779065014,7.70427786301612,7.70427786301612,3303000
2006-01-17,8.087003707885742,8.089488540738746,7.955284813533331,8.002505170169108,14462800
2006-01-18,8.10440444946289,8.136712981052847,8.02736131968626,8.02736131968626,17299000
2006-01-19,8.176474571228027,8.198841863778537,8.079549004810598,8.186414852768827,15591000
2006-01-20,8.129255294799805,8.231150541627377,8.077065254532796,8.201327796910222,8118200
2006-01-23,8.116826057434082,8.362866212309328,8.091973937892076,8.362866212309328,12328800
2006-01-24,8.188898086547852,8.193868699795765,8.121796229772334,8.144163515364173,4413600
2006-01-25,8.07706356048584,8.223693367659648,8.02735836435022,8.131739371039798,8334200
2006-01-26,8.00499439239502,8.139198193188308,7.967716190873432,8.109375442361406,6276600
2006-01-27,8.049727439880371,8.101917480772114,8.014934079285876,8.04724260614418,4570200
2006-01-30,7.995052814483643,8.05966987787682,7.992567980375342,8.019905895807216,2719000
2006-01-31,7.990080833435059,8.037300252209407,7.970198374131433,8.000021115039031,5353600
2006-02-01,8.012447357177734,8.04227009522326,7.952800933038933,8.024873419026058,5569200
2006-02-02,7.90806770324707,8.037300854257548,7.873274344907309,7.985110816747907,11062400
2006-02-03,7.868301868438721,7.913036446592861,7.81114122925236,7.910551139581649,5053000
2006-02-06,7.915524482727051,7.937891779515942,7.8384818349119865,7.8384818349119865,4918200
2006-02-07,7.868301868438721,8.002505602901143,7.843449272350438,7.883213236482153,3524200
