Price,Close,High,Low,Open,Volume
Ticker,XLI,XLI,XLI,XLI,XLI
Date,,,,,
2006-01-03,21.455862045288086,21.496563316929493,21.10991029313889,21.14382672567776,1256500
2006-01-04,21.5101375579834,21.564405941476338,21.449088214212793,21.537271749729868,3369000
2006-01-05,21.47622299194336,21.564407829008726,21.415172348999516,21.564407829008726,386200
2006-01-06,21.5576114654541,21.632227867273045,21.455859591814857,21.632227867273045,458700
2006-01-09,21.73398780822754,21.740770061414057,21.44908530270971,21.469434649927866,960100
2006-01-10,21.67292594909668,21.686491742269904,21.571174090411404,21.571174090411404,760900
2006-01-11,21.686500549316406,21.720418280595283,21.611884128161194,21.645800565610916,592100
2006-01-12,21.52370262145996,21.70007096966983,21.496569726105015,21.70007096966983,1296900
2006-01-13,21.44908332824707,21.510132658111022,21.306631441686697,21.306631441686697,903100
2006-01-17,21.34054946899414,21.618669716434468,21.272716587687466,21.618669716434468,886200
2006-01-18,21.367685317993164,21.401601761283626,21.184533419034175,21.184533419034175,928400
2006-01-19,21.469423294067383,21.50334101120631,21.32697276356973,21.462639750639596,1295100
2006-01-20,21.001384735107422,21.435522779896456,20.960684738162367,21.38803923448896,2775400
2006-01-23,21.01494789123535,21.103132710880747,20.99459854349359,21.028514985616077,1260300
2006-01-24,21.170970916748047,21.232021562977927,21.076003819870298,21.10992156434782,1639900
2006-01-25,21.164180755615234,21.293064254995276,21.103130132191353,21.293064254995276,883900
2006-01-26,21.401601791381836,21.401601791381836,21.170966353960097,21.170966353960097,822500
2006-01-27,21.44908332824707,21.4897833127661,21.320198534469434,21.4897833127661,578500
2006-01-30,21.496566772460938,21.496566772460938,21.326981994848214,21.374465525567107,1174500
2006-01-31,21.37447166442871,21.503356494702956,21.354121019491867,21.435522305409695,749200
2006-02-01,21.5576114654541,21.59831143861251,21.30662549434815,21.30662549434815,1824600
2006-02-02,21.37447166442871,21.60510713172808,21.31342102344773,21.449089402034254,979100
2006-02-03,21.326974868774414,21.435508986675252,21.272707809823995,21.347324207237858,766900
2006-02-06,21.401601791381836,21.408385338815346,21.286284072670966,21.293067620104473,543800
2006-02-07,21.24557876586914,21.442297710730067,21.21844587675363,21.394814184406133,649500
2006-02-08,21.347333908081055,21.38803519116126,21.19809975160829,21.252366835219235,968100
2006-02-09,21.469423294067383,21.564391608227762,21.320189220141945,21.320189220141945,501600
2006-02-10,21.611879348754883,21.679712208653275,21.421943977084325,21.639012233948463,961900
2006-02-13,21.63901710510254,21.679717088969312,21.421948799374203,21.59153357495311,387800
2006-02-14,21.896787643432617,21.93070667215844,21.557619351272393,21.659369968303388,664500
2006-02-15,21.95784568786621,21.96463053096614,21.795045680700376,21.842529231762036,772700
2006-02-16,22.018890380859375,22.059591665469945,21.876439766210524,22.059591665469945,657800
2006-02-17,22.07315444946289,22.10707088618512,21.944268367196866,22.012103828299576,923400
2006-02-21,21.984970092773438,22.120638430090843,21.92391947036352,22.113853590012905,1011100
2006-02-22,22.21559715270996,22.23594648999034,22.079928866306982,22.079928866306982,1452400
2006-02-23,22.1409854888916,22.249519630007423,22.113851306698137,22.154552579988334,521800
2006-02-24,22.154552459716797,22.222385327174173,22.0324512281671,22.1002866832825,581400
2006-02-27,22.297008514404297,22.36484398619313,22.086725021005563,22.35127689183536,1078600
2006-02-28,22.039234161376953,22.310568195397323,21.998532891827885,22.310568195397323,626700
