Price,Close,High,Low,Open,Volume
Ticker,XLP,XLP,XLP,XLP,XLP
Date,,,,,
2006-01-03,13.754029273986816,13.771631837093995,13.601467385001866,13.67774776990116,1372800
2006-01-04,13.800969123840332,13.806837017009697,13.75989499084097,13.75989499084097,1124300
2006-01-05,13.730552673339844,13.830304598129509,13.712950116673754,13.81270204146342,1806300
2006-01-06,13.789228439331055,13.795096330416044,13.7012123114278,13.783360548246065,1131600
2006-01-09,13.853775978088379,13.865510642644677,13.759891946522373,13.771626611078672,1714100
2006-01-10,13.818572998046875,13.836176679228743,13.771630967414847,13.818572998046873,1144600
2006-01-11,13.83030891418457,13.842044701748344,13.783366883115773,13.789234776897661,722700
2006-01-12,13.795099258422852,13.836173385549957,13.75989302362619,13.777495581431507,1491000
2006-01-13,13.777498245239258,13.847911847632707,13.754027790565603,13.789234032169208,1385600
2006-01-17,13.72469425201416,13.748165836013277,13.67188430720287,13.67188430720287,788800
2006-01-18,13.783361434936523,13.789229326398996,13.70121319283362,13.707081084296094,1169200
2006-01-19,13.795099258422852,13.812702935414192,13.718817777313058,13.718817777313058,1162400
2006-01-20,13.595597267150879,13.818571610466652,13.595597267150879,13.818571610466652,8322800
2006-01-23,13.607331275939941,13.671875853655079,13.589727598825247,13.6249338338686,1426300
2006-01-24,13.654269218444824,13.683607552355934,13.607327212675628,13.677739661736572,1194900
2006-01-25,13.666010856628418,13.683613416844867,13.619067711554749,13.677745523710659,1130900
2006-01-26,13.695347785949707,13.771628150428745,13.666009442500707,13.70121567847672,1229300
2006-01-27,13.806840896606445,13.818575567056323,13.67774944897928,13.75403096242924,1052000
2006-01-30,13.754029273986816,13.830309658886108,13.730557697595426,13.730557697595426,766200
2006-01-31,13.68947982788086,13.742289741185068,13.648405699574488,13.718818171189396,945800
2006-02-01,13.72469425201416,13.754033732013056,13.648413842390477,13.648413842390477,1696000
2006-02-02,13.718812942504883,13.789226506468955,13.666004168513867,13.777490725944006,2180800
2006-02-03,13.630804061889648,13.69534976985078,13.589729927436645,13.589729927436645,1563800
2006-02-06,13.601463317871094,13.66014112211728,13.572123856154988,13.58385964084143,1004800
2006-02-07,13.536917686462402,13.607331275734072,13.513447236162532,13.589727598619646,1043600
2006-02-08,13.595597267150879,13.630803506793121,13.501713215314114,13.501713215314114,1782700
2006-02-09,13.63667106628418,13.683613091054037,13.56625858872247,13.607332720497826,1260300
2006-02-10,13.61906623840332,13.66600937839923,13.566257444280037,13.60146368009091,515700
2006-02-13,13.601463317871094,13.66014112211728,13.531049728938468,13.61906587571473,724300
2006-02-14,13.771625518798828,13.771625518798828,13.595593253370836,13.595593253370836,793900
2006-02-15,13.85964584350586,13.85964584350586,13.712951883397222,13.712951883397222,1513200
2006-02-16,13.924185752868652,13.924185752868652,13.789227623456418,13.789227623456418,826200
2006-02-17,13.865519523620605,13.935933151988571,13.859652747177709,13.87725531487971,703500
2006-02-21,13.847906112670898,13.90071601279877,13.795096212543026,13.865508666589669,1126200
2006-02-22,13.959399223327637,13.97113389076723,13.853779382067792,13.853779382067792,1692500
2006-02-23,13.965263366699219,14.012205385173372,13.912453456017548,13.982867043321777,1307200
2006-02-24,13.894850730895996,13.94766064094035,13.871379162349177,13.906586515169407,486200
2006-02-27,13.994601249694824,14.023939588238205,13.930055561876337,14.023939588238205,736500
2006-02-28,13.806840896606445,14.023947408946949,13.800973001788256,14.023947408946949,1044800
2006-03-01,13.85964584350586,13.877248402439793,13.806835928331862,13.877248402439793,454800
2006-03-02,13.783361434936523,13.859642904762811,13.754023096810018,13.847907121837865,763500
2006-03-03,13.818572998046875,13.912457059310928,13.75989629914656,13.765763073687557,1047000
2006-03-06,13.771625518798828,13.842039096481534,13.759890855173252,13.800964975827393,1464300
2006-03-07,13.865519523620605,13.871387419250159,13.77750332755064,13.783371223180193,2089000
2006-03-08,14.018072128295898,14.023940020022415,13.789229946891236,13.81270151379731,2036100
2006-03-09,14.041543006896973,14.100220802099907,14.000468886010674,14.012203549702578,2680800
2006-03-10,14.170639038085938,14.370142951598229,14.059151293667584,14.070887081329792,2637700
2006-03-13,14.182373046875,14.229315072449655,14.135431021300343,14.153034700585653,1294300
2006-03-14,14.147164344787598,14.176502685969798,13.888982689477524,13.888982689477524,1859000
2006-03-15,14.094361305236816,14.188245385804356,14.035683475085472,14.1354354505868,1268000
2006-03-16,14.14129638671875,14.147164278765,14.082618585442212,14.117824818533746,1419900
2006-03-17,14.133044242858887,14.209726668463912,14.10945042925868,14.20382793379671,983100
2006-03-20,14.215620040893555,14.24511257803616,14.133038911771544,14.239213845594003,1038100
2006-03-21,14.121241569519043,14.256909030853368,14.115342837495625,14.186125371640449,1600600
2006-03-22,14.25101089477539,14.25101089477539,14.127140892307935,14.16253216086033,1350200
2006-03-23,14.144834518432617,14.392575623116263,14.144834518432617,14.186124515035221,2017400
2006-03-24,14.144834518432617,14.197921978369687,14.085848326828316,14.186124515035221,1189900
2006-03-27,14.097644805908203,14.174327187160472,14.0917460746528,14.138934799628064,952800
2006-03-28,13.985580444335938,14.109451632776022,13.985580444335936,14.062262876481869,1222900
2006-03-29,14.085847854614258,14.091746586083742,13.961977868959067,14.050456590865345,608200
2006-03-30,13.973773956298828,14.085846467982465,13.920686503367472,14.044556476828717,1429900
2006-03-31,13.92069149017334,14.032765167072982,13.908894024169529,14.003271502063454,535800
2006-04-03,13.967879295349121,14.020966763749021,13.938385632311283,14.009169298533886,1250100
