Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2006-01-03,87.22505187988281,87.43158528464988,85.6347625212094,86.18551476567983,73256700
2006-01-04,87.63811492919922,87.76891451106776,87.22504813738819,87.33520068250111,51899600
2006-01-05,87.69318389892578,87.83775517173426,87.34896508204017,87.5348461844813,47307500
2006-01-06,88.42296600341797,88.51934688971568,87.67945180709472,88.13382334452483,62885900
2006-01-09,88.650146484375,88.84978884239469,88.38165613822267,88.40918903063886,43527400
2006-01-10,88.7396469116211,88.79472320779048,88.29904704699531,88.38854734136176,44960800
2006-01-11,89.02185821533203,89.11135845865074,88.62256317439456,88.82221594722499,49598900
2006-01-12,88.6707534790039,89.00120054281716,88.42291555496327,88.86351514162186,40509200
2006-01-13,88.5881576538086,88.73961478726355,88.25771050114577,88.5124395918067,44856700
2006-01-17,88.34719848632812,88.4091553492068,87.9892079929334,88.25769823679842,52066600
2006-01-18,87.99609375,88.73960236559728,87.54172766559955,87.8308701967964,75067600
2006-01-19,88.33345031738281,88.65013631986281,87.98923142564351,88.20953655862559,81530400
2006-01-20,86.72252655029297,88.33346877918736,86.72252655029297,88.31281648174479,114957800
2006-01-23,87.03231048583984,87.30768667235567,86.83266288192496,86.88773916970091,67017400
2006-01-24,87.12178039550781,87.53484190510444,87.03228014598113,87.17685141172186,53008800
2006-01-25,87.19750213623047,87.55548734927038,86.6329783059925,87.45910651297649,87747700
2006-01-26,87.679443359375,87.89285740813449,87.26638170755889,87.6037147770996,71294000
2006-01-27,88.4917984008789,88.57441808775948,87.74140365038595,87.88598022388085,65771200
2006-01-30,88.42296600341797,88.67768466619147,88.36100911323989,88.42296600341797,33709600
2006-01-31,87.77581024169922,88.49178085610107,87.76892439376371,88.34033422042415,72937000
2006-02-01,88.3885269165039,88.4160598058616,87.92727486049209,87.99611758861327,63561000
2006-02-02,87.36273956298828,88.21640078543568,87.29389684788748,88.18886790128535,83626900
2006-02-03,86.92903137207031,88.38852127597397,86.83953635646024,87.14245064369914,86040400
2006-02-06,87.15621948242188,87.29391018602452,86.86019103513031,87.04607217190305,45511900
2006-02-07,86.38514709472656,87.19750362331602,86.33007082951602,87.00473669507912,71208100
2006-02-08,87.16998291015625,88.18887301071233,86.46777351930149,86.63988294320629,59422200
2006-02-09,87.02540588378906,87.84464311592882,86.9978677474973,87.37650530369363,62023300
2006-02-10,87.18376922607422,87.52110230315922,86.36452650078952,87.03919790732351,64508700
2006-02-13,87.02540588378906,87.28701030001722,86.70871994261493,87.15620546572191,52308700
2006-02-14,87.94791412353516,88.14067583466077,86.88771945998162,87.05982888096702,90964400
2006-02-15,88.25768280029297,88.34030244107159,87.59678345003661,87.89969762187287,85471300
2006-02-16,88.91863250732422,88.95305649971685,88.24395587155686,88.35410844532227,61017900
2006-02-17,88.67766571044922,88.9186231270508,88.5193279678197,88.84289455366685,40342600
2006-02-21,88.45735931396484,89.08382960521507,88.3196633772526,88.8841873045425,46456300
2006-02-22,88.9943618774414,89.25596111154323,88.56752327649939,88.65014295991948,42326700
2006-02-23,88.86351776123047,89.24904109783124,88.3127656354909,88.99432257287495,43423200
2006-02-24,89.09070587158203,89.13889103762857,88.64321516122317,88.88417250562588,36777400
2006-02-27,89.12512969970703,89.52441423389921,89.00120547845302,89.0838146228068,35858600
2006-02-28,88.2783432006836,89.43492373542051,88.20950574921513,88.94612845779503,74394800
2006-03-01,89.06319427490234,89.14581395360699,88.46425675411092,88.53310473557694,48641600
2006-03-02,89.05631256103516,89.09761714750557,88.53998422070093,88.73962655688364,60642300
2006-03-03,88.64324188232422,89.54510416870421,88.56751330880306,88.58128500527778,73402500
2006-03-06,88.23705291748047,88.93237116683065,88.01675307813301,88.90483828272939,57478400
2006-03-07,88.099365234375,88.161322100562,87.70695599143691,88.02363667412709,61780800
2006-03-08,88.28526306152344,88.42294851404009,87.55551545656787,87.91350078452915,66692400
2006-03-09,87.69318389892578,88.58814967141095,87.69318389892578,88.31277881979233,56313600
2006-03-10,88.52620697021484,88.69831640619616,87.73450776659132,87.92038364641135,60490800
2006-03-13,88.69143676757812,88.9186224860923,88.48490334122646,88.69831736339016,45479100
2006-03-14,89.62081909179688,89.65524307941213,88.53997731281584,88.60882528804635,69877300
2006-03-15,90.02010345458984,90.08895142157333,89.3936331758297,89.60015606733036,53398900
2006-03-16,90.20599365234375,90.50890793003799,90.07518880472797,90.1922219566142,65526400
2006-03-17,90.28132629394531,90.47485455991202,90.11545094968787,90.32279513000968,47286800
2006-03-20,90.13617706298828,90.47484622397683,89.99794410667671,90.29514443542165,45538500
2006-03-21,89.56938171386719,90.53703321456355,89.4726176184471,90.10849746642135,87102700
2006-03-22,90.1154556274414,90.20530126141144,89.47265699557859,89.51412583379553,51605700
2006-03-23,89.9288330078125,90.12236127887283,89.61780618264409,90.03250510070204,46704200
2006-03-24,89.99794006347656,90.24676359225828,89.67308683016438,89.84588065441562,43209200
2006-03-27,89.86661529541016,90.04631707634367,89.67308705548233,89.87352325165826,32523000
2006-03-28,89.31368255615234,90.21912060747803,89.19618400830466,89.80441116501625,82079900
2006-03-29,89.87353515625,90.1983884334083,89.36206157069239,89.44500978914736,61505700
2006-03-30,89.71455383300781,90.53013560454073,89.54176001227648,89.92881648327501,70571700
2006-03-31,89.73527526855469,90.01865962472513,89.41733004393727,89.86660024075545,62925600
2006-04-03,89.66618347167969,90.45412302148515,89.5003081221416,89.90119112769172,61624700
2006-04-04,90.2398681640625,90.35736672901821,89.41045970487457,89.66619125527815,54809300
2006-04-05,90.55088806152344,90.73750837811667,90.11545471813916,90.27442211186676,50607200
2006-04-06,90.45410919189453,90.68911681197609,89.98411504472789,90.44029327921191,57906200
2006-04-07,89.53487396240234,90.82046087647582,89.40355947010862,90.58546372626388,80180900
2006-04-10,89.67308807373047,89.90808514681152,89.34131633308854,89.67308807373047,41496500
2006-04-11,88.91278839111328,89.89425603189565,88.6432304513667,89.74911512783866,72799400
2006-04-12,89.07865142822266,89.25144520548317,88.89203119576263,89.00262174436821,43033700
2006-04-13,88.961181640625,89.33441167952301,88.68470517986853,88.87823342914876,51051800
2006-04-17,88.9266357421875,89.3758955651478,88.48428387697261,89.04413430286172,64167700
2006-04-18,90.33660888671875,90.50249475414698,89.11322566236838,89.11322566236838,92531800
2006-04-19,90.50941467285156,90.59236289077784,90.01868605491012,90.37118170497367,87269000
2006-04-20,90.63384246826172,91.13839760673982,90.26752031404467,90.54398628256675,86005500
2006-04-21,90.64763641357422,91.0899881838957,90.28131434814384,91.02087698176622,72342600
2006-04-24,90.48177337646484,90.59236397068523,90.11545126129694,90.46794691556241,52546400
2006-04-25,90.10853576660156,90.62691732950799,89.79750893815769,90.57162203055132,84359800
2006-04-26,90.12928771972656,90.64076142470624,90.0601764924603,90.19840949349478,67262400
2006-04-27,90.564697265625,90.97940665758605,89.56940316211681,89.78366581424746,124478600
2006-04-28,90.86881256103516,91.06234079072257,90.34352315852607,90.39880789858174,55854400
2006-05-01,90.12928771972656,91.09693981997174,90.07400295651433,90.868850622339,64990300
2006-05-02,90.8066177368164,90.86191302849575,90.36426594988019,90.55087569448715,49063500
2006-05-03,90.46795654296875,90.76516747825214,90.1638376497488,90.6476583678257,60821300
2006-05-04,90.7928237915039,90.97252564394174,90.52326573959603,90.59929547457017,42921400
2006-05-05,91.5945816040039,91.78810990322279,91.13149527755147,91.26972827035048,62588200
2006-05-08,91.48396301269531,91.76734741649192,91.48396301269531,91.5876350889633,30016700
2006-05-09,91.66368865966797,91.76737130942931,91.44942594859575,91.52545567315371,29864000
2006-05-10,91.61528778076172,91.75352073094376,91.15910955331275,91.5185236609845,64378200
2006-05-11,90.50941467285156,91.61529950887356,90.21221431923905,91.58764658739834,80626900
2006-05-12,89.32750701904297,90.35044359534086,89.29294614186081,90.10162004472798,91726500
2006-05-15,89.5072021484375,89.67308801865659,88.8920565478101,89.01646304060075,84029300
2006-05-16,89.37586975097656,89.85278236017399,89.16851506699977,89.68689650369309,62137600
2006-05-17,87.67559814453125,89.23074806262265,87.62030284713471,88.93353715742869,144789500
2006-05-18,87.23323059082031,88.29764114425323,87.16411411815561,88.02116998034553,87906300
2006-05-19,87.84841918945312,88.11797725614692,86.94989405822433,87.6894517517883,124309400
2006-05-22,87.17791748046875,87.89674025037093,86.74247904577946,87.28159480489414,110852800
2006-05-23,86.5144271850586,88.21471810766182,86.5144271850586,87.9036912739021,92006500
2006-05-24,87.20561981201172,87.70326706276894,86.23106500698802,86.86694526151068,168405000
2006-05-25,88.2838363647461,88.2838363647461,87.38530623338501,87.72398070365195,78977900
2006-05-26,88.73307800292969,88.73307800292969,88.1317536639433,88.47733600024483,62989700
2006-05-30,87.1572036743164,88.47043778991019,87.12264807350414,88.44970337477302,72419900
2006-05-31,88.13179016113281,88.13179016113281,87.22634666334015,87.5166443832492,86926200
2006-06-01,88.9749755859375,89.1201270103092,87.9658604829479,88.04189017257195,73721700
2006-06-02,89.16162109375,89.45882143507633,88.69162691309471,89.33441493307897,91702600
2006-06-05,87.86225128173828,89.06489544656715,87.62033558355711,89.057987486749,86105100
2006-06-06,87.64794158935547,88.04191131508485,86.92221065945884,87.92441277499434,130498600
2006-06-07,86.9913330078125,88.228537560266,86.94295094255453,87.71706925993175,108599400
2006-06-08,86.9153060913086,87.43368763857285,85.61589824453608,86.79780753950864,204957200
2006-06-09,86.63880157470703,87.7515939569439,86.59733275430618,87.33688993319207,94972200
2006-06-12,85.6988296508789,87.03971150919648,85.58133110767051,87.00515063260606,95815900
2006-06-13,84.70354461669922,86.28633159061688,84.70354461669922,85.52603973006372,185688800
2006-06-14,85.36013793945312,85.4499888178621,84.55837216934846,84.90395977234219,163566400
2006-06-15,87.1710433959961,87.33692401558058,85.60898551459688,85.67118876947238,134057000
2006-06-16,86.53579711914062,87.16754385882989,86.40389168375835,86.9801040317843,94253500
2006-06-19,85.85546875,87.11202932374867,85.77216449523831,87.05648962286926,95804400
2006-06-20,86.14704895019531,86.64689569235509,85.89018708854377,86.09151454283355,65494700
2006-06-21,86.78572082519531,87.26473607279786,86.05677697943685,86.08454682367639,75008200
2006-06-22,86.40392303466797,86.82046025433878,86.11234751055422,86.74409447946735,74566100
2006-06-23,86.39000701904297,86.98704540948847,86.10537009721278,86.3136412739937,54107000
2006-06-26,86.7718505859375,86.82044649892381,86.2581216062882,86.45944904481932,37899600
2006-06-27,86.0220718383789,86.98010766568788,85.92487473165592,86.78572404535473,69780200
2006-06-28,86.60525512695312,86.61913740650782,85.84160263404317,86.2164877407208,62368100
